pay_item_number_raw,pay_item_number,subitem,suffix,description,unit,valid_values_1,valid_values_2,valid_values_3,source_file
1109 (6),1109,6,,e Grounding Rod Copper Clad 20 mm dia. x 3 m Length Page 17 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,,,,,Part F_1100.pdf
1109 (6),1109,6,,f Grounding Rod Copper Clad 22 mm dia. x 3 m Length,,,,,Part F_1100.pdf
1109 (6),1109,6,,g Grounding Rod Copper Clad 25 mm dia. x 3 m Length,,,,,Part F_1100.pdf
1110 (1),1110,1,,Nurse Call System,Lump Sum,,,,Part F_1100.pdf
1110 (2),1110,2,,Area Control Unit (ACU),Set,,,,Part F_1100.pdf
1110 (3),1110,3,,Nurse Call Console,Set,,,,Part F_1100.pdf
1110 (4),1110,4,,Patient Bed Station,Set,,,,Part F_1100.pdf
1110 (5),1110,5,,Corridor Lights and Zone Lights,Set,,,,Part F_1100.pdf
1111 (1),1111,1,,Reinforced Concrete Pedestal/Pole,Lump Sum,,,,Part F_1100.pdf
1111 (2),1111,2,,Reinforced Concrete Encasement,Lump Sum,,,,Part F_1100.pdf
1111 (3),1111,3,,Concrete Encasement,Lump Sum,,,,Part F_1100.pdf
1111 (4),1111,4,,Handhole,Lump Sum,,,,Part F_1100.pdf
1111 (5),1111,5,,Manhole,Lump Sum,,,,Part F_1100.pdf
1111 (6),1111,6,,Cable Tray,Lump Sum,,,,Part F_1100.pdf
1111 (7),1111,7,,Trench Excavation,Lump Sum,,,,Part F_1100.pdf
1111 (8),1111,8,,2 Spool Insulator Secondary Rack,Set,,,,Part F_1100.pdf
1111 (9),1111,9,,3 Spool Insulator Secondary Rack Page 18 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Set,,,,Part F_1100.pdf
1111 (10),1111,10,,4 Spool Insulator Secondary Rack,Set,,,,Part F_1100.pdf
1111 (11),1111,11,,Mounting Bolts/ Eye bolts Page 19,Each,,,,Part F_1100.pdf
1300 (1),1300,1,,"Untreated Timber Piles, furnished",Meter,,,,Part H_1300.pdf
1300 (2),1300,2,,"Treated Timber Piles, preservative, furnished",Meter,,,,Part H_1300.pdf
1300 (3),1300,3,,"a Steel H-Piles, furnished 305 mm x 305 mm 79 kg/m",Meter,,,,Part H_1300.pdf
1300 (3),1300,3,,"b Steel H-Piles, furnished 305 mm x 305 mm 94 kg/m",Meter,,,,Part H_1300.pdf
1300 (3),1300,3,,"c Steel H-Piles, furnished 305 mm x 305 mm 110 kg/m",Meter,,,,Part H_1300.pdf
1300 (3),1300,3,,"d Steel H-Piles, furnished 305 mm x 305 mm 125 kg/m",Meter,,,,Part H_1300.pdf
1300 (4) a1,1300,4,a1,"Precast Concrete Piles, furnished 400 mm x 400 mm",Meter,,,,Part H_1300.pdf
1300 (4) a2,1300,4,a2,"Precast Concrete Piles, furnished 450 mm x 450 mm",Meter,,,,Part H_1300.pdf
1300 (5) a1,1300,5,a1,"Precast, Prestresssed Concrete Piles, furnished 400 mm x 400 mm",Meter,,,,Part H_1300.pdf
1300 (5) a2,1300,5,a2,"Precast, Prestresssed Concrete Piles, furnished 450 mm x 450 mm",Meter,,,,Part H_1300.pdf
1300 (6),1300,6,,"Structural Steel Sheet Piles, furnished",Meter,,,,Part H_1300.pdf
1300 (7),1300,7,,"Precast Concrete Sheet Piles, furnished",Meter,,,,Part H_1300.pdf
1300 (8),1300,8,,"Untreated Timber Piles, driven",Meter,,,,Part H_1300.pdf
1300 (9),1300,9,,"Treated Timber Piles, driven",Meter,,,,Part H_1300.pdf
1300 (10),1300,10,,"Steel H-Piles, driven",Meter,,,,Part H_1300.pdf
1300 (11),1300,11,,Steel Pipes Piles,Meter,,,,Part H_1300.pdf
1300 (12),1300,12,,"Structural Steel Sheet Piles, driven",Meter,,,,Part H_1300.pdf
1300 (13),1300,13,,"Precast Concrete Sheet Piles, driven",Meter,,,,Part H_1300.pdf
1300 (14),1300,14,,"Precast Concrete Piles, driven",Meter,,,,Part H_1300.pdf
1300 (15),1300,15,,"Precast, Prestresssed Concrete Piles, driven",Meter,,,,Part H_1300.pdf
1300 (16),1300,16,,"Test Piles, furnished and driven",Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,a Concrete Piles cast in Drilled Holes dia. 0.80 m Page 1 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,b Concrete Piles cast in Drilled Holes dia. 0.90 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,c Concrete Piles cast in Drilled Holes dia. 1.00 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,d Concrete Piles cast in Drilled Holes dia. 1.10 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,e Concrete Piles cast in Drilled Holes dia. 1.20 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,f Concrete Piles cast in Drilled Holes dia. 1.30 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,g Concrete Piles cast in Drilled Holes dia. 1.40 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,h Concrete Piles cast in Drilled Holes dia. 1.50 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,i Concrete Piles cast in Drilled Holes dia. 1.60 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,j Concrete Piles cast in Drilled Holes dia. 1.70 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,k Concrete Piles cast in Drilled Holes dia. 1.80 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,l Concrete Piles cast in Drilled Holes dia. 1.90 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,m Concrete Piles cast in Drilled Holes dia. 2.00 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,n Concrete Piles cast in Drilled Holes dia. 2.10 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,o Concrete Piles cast in Drilled Holes dia. 2.20 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,p Concrete Piles cast in Drilled Holes dia. 2.30 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,q Concrete Piles cast in Drilled Holes dia. 2.40 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,r Concrete Piles cast in Drilled Holes dia. 2.50 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,s Concrete Piles cast in Drilled Holes dia. 2.60 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,t Concrete Piles cast in Drilled Holes dia. 2.70 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,u Concrete Piles cast in Drilled Holes dia. 2.80 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,v Concrete Piles cast in Drilled Holes dia. 2.90 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,w Concrete Piles cast in Drilled Holes dia. 3.00 m,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,x Concrete Piles cast in Drilled Holes dia. 3.50 m,Meter,,,,Part H_1300.pdf
1300 (17) y1,1300,17,y1,Concrete Piles cast in Drilled Holes 3.00 m x 6.50 m Oval,Meter,,,,Part H_1300.pdf
1300 (17) y2,1300,17,y2,Concrete Piles cast in Drilled Holes 3.00 m x 7.00 m Oval,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,z Concrete Piles cast in Drilled Holes Rectangular,Meter,,,,Part H_1300.pdf
1300 (17),1300,17,,aa Concrete Piles cast in Drilled Holes dia. 0.60 m,Meter,,,,Part H_1300.pdf
1300 (18),1300,18,,a Concrete Piles cast in Steel Shells dia. 400 mm,Meter,,,,Part H_1300.pdf
1300 (18),1300,18,,b Concrete Piles cast in Steel Shells dia. 500 mm,Meter,,,,Part H_1300.pdf
1300 (19),1300,19,,a Concrete Piles cast in Steel Pipes dia. 400 mm Page 2 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part H_1300.pdf
1300 (19),1300,19,,b Concrete Piles cast in Steel Pipes dia. 500 mm,Meter,,,,Part H_1300.pdf
1300 (20),1300,20,,Pile Shoes,Each,,,,Part H_1300.pdf
1300 (21),1300,21,,Splices,Each,,,,Part H_1300.pdf
1300 (22),1300,22,,Load Tests,Each,,,,Part H_1300.pdf
1300 (23) a1,1300,23,a1,Permanent Casing dia. 0.80 m 10 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) a2,1300,23,a2,Permanent Casing dia. 0.80 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) a3,1300,23,a3,Permanent Casing dia. 0.80 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) b1,1300,23,b1,Permanent Casing dia. 0.90 m 10 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) b2,1300,23,b2,Permanent Casing dia. 0.90 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) b3,1300,23,b3,Permanent Casing dia. 0.90 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) c1,1300,23,c1,Permanent Casing dia. 1.00 m 10 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) c2,1300,23,c2,Permanent Casing dia. 1.00 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) c3,1300,23,c3,Permanent Casing dia. 1.00 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) d1,1300,23,d1,Permanent Casing dia. 1.10 m 10 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) d2,1300,23,d2,Permanent Casing dia. 1.10 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) d3,1300,23,d3,Permanent Casing dia. 1.10 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) e1,1300,23,e1,Permanent Casing dia. 1.20 m 10 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) e2,1300,23,e2,Permanent Casing dia. 1.20 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) e3,1300,23,e3,Permanent Casing dia. 1.20 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) f1,1300,23,f1,Permanent Casing dia. 1.30 m 10 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) f2,1300,23,f2,Permanent Casing dia. 1.30 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) f3,1300,23,f3,Permanent Casing dia. 1.30 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) g1,1300,23,g1,Permanent Casing dia. 1.40 m 10 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) g2,1300,23,g2,Permanent Casing dia. 1.40 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) g3,1300,23,g3,Permanent Casing dia. 1.40 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) h1,1300,23,h1,Permanent Casing dia. 1.50 m 10 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) h2,1300,23,h2,Permanent Casing dia. 1.50 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) h3,1300,23,h3,Permanent Casing dia. 1.50 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) i1,1300,23,i1,Permanent Casing dia. 1.60 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) i2,1300,23,i2,Permanent Casing dia. 1.60 m 16 mm thick Page 3 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part H_1300.pdf
1300 (23) j1,1300,23,j1,Permanent Casing dia. 1.70 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) j2,1300,23,j2,Permanent Casing dia. 1.70 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) k1,1300,23,k1,Permanent Casing dia. 1.80 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) k2,1300,23,k2,Permanent Casing dia. 1.80 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) l1,1300,23,l1,Permanent Casing dia. 1.90 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) l2,1300,23,l2,Permanent Casing dia. 1.90 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) m1,1300,23,m1,Permanent Casing dia. 2.00 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) m2,1300,23,m2,Permanent Casing dia. 2.00 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) n1,1300,23,n1,Permanent Casing dia. 2.10 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) n2,1300,23,n2,Permanent Casing dia. 2.10 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) o1,1300,23,o1,Permanent Casing dia. 2.20 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) o2,1300,23,o2,Permanent Casing dia. 2.20 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) p1,1300,23,p1,Permanent Casing dia. 2.30 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) p2,1300,23,p2,Permanent Casing dia. 2.30 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) q1,1300,23,q1,Permanent Casing dia. 2.40 m 12 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) q2,1300,23,q2,Permanent Casing dia. 2.40 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) r1,1300,23,r1,Permanent Casing dia. 2.50 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) r2,1300,23,r2,Permanent Casing dia. 2.50 m 20 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) s1,1300,23,s1,Permanent Casing dia. 2.60 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) s2,1300,23,s2,Permanent Casing dia. 2.60 m 20 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) t1,1300,23,t1,Permanent Casing dia. 2.70 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) t2,1300,23,t2,Permanent Casing dia. 2.70 m 20 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) u1,1300,23,u1,Permanent Casing dia. 2.80 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) u2,1300,23,u2,Permanent Casing dia. 2.80 m 20 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) v1,1300,23,v1,Permanent Casing dia. 2.90 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) v2,1300,23,v2,Permanent Casing dia. 2.90 m 20 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) w1,1300,23,w1,Permanent Casing dia. 3.00 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) w2,1300,23,w2,Permanent Casing dia. 3.00 m 20 mm thick Page 4 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Meter,,,,Part H_1300.pdf
1300 (23) x1,1300,23,x1,Permanent Casing dia. 3.50 m 16 mm thick,Meter,,,,Part H_1300.pdf
1300 (23) x2,1300,23,x2,Permanent Casing dia. 3.50 m 20 mm thick,Meter,,,,Part H_1300.pdf
1300 (23),1300,23,,y Permanent Casing dia. 0.60 m 6 mm thick,Meter,,,,Part H_1300.pdf
1300 (24),1300,24,,Permanent Casing,Kilogram,,,,Part H_1300.pdf
1300 (25),1300,25,,Splicing of RC Piles with Epoxy,Each,,,,Part H_1300.pdf
1300 (26),1300,26,,a Pile Integrity Testing Crosshole-Sonic,Each,,,,Part H_1300.pdf
1300 (26),1300,26,,b Pile Integrity Testing Low Strain,Each,,,,Part H_1300.pdf
1300 (27),1300,27,,High Strain Dynamic Load Testing (PDA),Each,,,,Part H_1300.pdf
1300 (28),1300,28,,a Micro Piles 0.20,Meter,,,,Part H_1300.pdf
1300 (28),1300,28,,b Micro Piles 0.25,Meter,,,,Part H_1300.pdf
1300 (28),1300,28,,c Micro Piles 0.30,Meter,,,,Part H_1300.pdf
1300 (29),1300,29,,a Permanent Casing (Micro Piles) 0.20,Kilogram,,,,Part H_1300.pdf
1300 (29),1300,29,,b Permanent Casing (Micro Piles) 0.25,Kilogram,,,,Part H_1300.pdf
1300 (29),1300,29,,c Permanent Casing (Micro Piles) 0.30,Kilogram,,,,Part H_1300.pdf
1300 (30),1300,30,,a Temporary Steel Casing Furnish/Driven,Meter,,,,Part H_1300.pdf
1300 (30),1300,30,,b Temporary Steel Casing Extraction 318.5 mm dia. x 10.3 mm,Meter,,,,Part H_1300.pdf
1300 (31) a1,1300,31,a1,"Steel Pipe Piles, Furnished & Driven Press-in-Method Normal Headroom thk",Meter,,,,Part H_1300.pdf
1300 (31) a2,1300,31,a2,"Steel Pipe Piles, Furnished & Driven 800 mm dia. x 8 mm thk Press-in-Method Normal Headroom",Meter,,,,Part H_1300.pdf
1300 (31) a3,1300,31,a3,"Steel Pipe Piles, Furnished & Driven 1200 mm dia. x 16 mm thk Press-in-Method Normal Headroom",Meter,,,,Part H_1300.pdf
1300 (31) a4,1300,31,a4,"Steel Pipe Piles, Furnished & Driven 1200 mm dia. x 19 mm thk Press-in-Method Normal Headroom 318.5 mm dia. x 10.3 mm",Meter,,,,Part H_1300.pdf
1300 (31) b1,1300,31,b1,"Steel Pipe Piles, Furnished & Driven Press-in-Method Low Headroom thk",Meter,,,,Part H_1300.pdf
1300 (31) b2,1300,31,b2,"Steel Pipe Piles, Furnished & Driven 800 mm dia. x 8 mm thk Press-in-Method Low Headroom",Meter,,,,Part H_1300.pdf
1300 (31) b3,1300,31,b3,"Steel Pipe Piles, Furnished & Driven 1200 mm dia. x 16 mm thk Press-in-Method Low Headroom",Meter,,,,Part H_1300.pdf
1300 (31) b4,1300,31,b4,"Steel Pipe Piles, Furnished & Driven 1200 mm dia. x 19 mm thk Press-in-Method Low Headroom",Meter,,,,Part H_1300.pdf
1300 (32) a1,1300,32,a1,"Steel Pipe Sheet Piles, Furnished and Driven 800 mm dia. x 8 mm thk Page 5 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS",Meter,,,,Part H_1300.pdf
1300 (32) a2,1300,32,a2,"Steel Pipe Sheet Piles, Furnished and Driven 1200 mm dia. x 19 mm thk",Meter,,,,Part H_1300.pdf
1300 (33),1300,33,,a PVC Sheet Piles Furnished,Meter,,,,Part H_1300.pdf
1300 (33),1300,33,,b PVC Sheet Piles Driven Page 6,Meter,,,,Part H_1300.pdf
1400 (1),1400,1,,"Cleat, with Accessories",Set,,,,Part I_1400.pdf
1400 (2),1400,2,,Cleat (Replacement),Each,,,,Part I_1400.pdf
1400 (3),1400,3,,"Post, with Accessories",Set,,,,Part I_1400.pdf
1400 (4),1400,4,,Post (Replacement),Each,,,,Part I_1400.pdf
1400 (5),1400,5,,"Bitt, with Accessories",Set,,,,Part I_1400.pdf
1400 (6),1400,6,,Bitt (Replacement),Each,,,,Part I_1400.pdf
1400 (7),1400,7,,"Bollard, with Accessories",Set,,,,Part I_1400.pdf
1400 (8),1400,8,,Bollard (Replacement),Each,,,,Part I_1400.pdf
1401 (1),1401,1,,Timber Waling,Linear Meter,,,,Part I_1400.pdf
1402 (1),1402,1,,a Pile Cluster 3,Set,,,,Part I_1400.pdf
1402 (1),1402,1,,b Pile Cluster 4,Set,,,,Part I_1400.pdf
1402 (1),1402,1,,c Pile Cluster 5,Set,,,,Part I_1400.pdf
1402 (1),1402,1,,d Pile Cluster 7 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Set,,,,Part I_1400.pdf
1402 (1),1402,1,,e Pile Cluster 9,Set,,,,Part I_1400.pdf
1402 (1),1402,1,,f Pile Cluster 12,Set,,,,Part I_1400.pdf
1402 (2),1402,2,,Concrete Dolphin,Set,,,,Part I_1400.pdf
1402 (3),1402,3,,Tubular Steel Dolphin,Set,,,,Part I_1400.pdf
1402 (4),1402,4,,Pile Cluster,Linear Meter,,,,Part I_1400.pdf
1403 (1),1403,1,,Rubber Dock Fenders,Meter,,,,Part I_1400.pdf
1404 (1),1404,1,,Filter Fabric Material,Square Meter,,,,Part I_1400.pdf
1404 (2),1404,2,,Filter Aggregate Material,Cubic Meter,,,,Part I_1400.pdf
1405 (1),1405,1,,Reinforcing Mat,Square Meter,,,,Part I_1400.pdf
1406 (1),1406,1,,Deflector Wall,Linear Meter,,,,Part I_1400.pdf
1406 (2),1406,2,,Bulkhead Curbs,Linear Meter,,,,Part I_1400.pdf
1406 (3),1406,3,,Stair Landing Page 2 STANDARD PAY ITEM LIST FOR INFRASTRUCTURE PROJECTS,Linear Meter,,,,Part I_1400.pdf
1407 (1),1407,1,,Tetrapod,Piece,,,,Part I_1400.pdf
1407 (2),1407,2,,Tetrapod,Cubic Meter,,,,Part I_1400.pdf
1407 (3),1407,3,,Hexapod,Piece,,,,Part I_1400.pdf
1407 (4),1407,4,,Hexapod,Cubic Meter,,,,Part I_1400.pdf
1407 (5),1407,5,,Tria-Blocks,Piece,,,,Part I_1400.pdf
1407 (6),1407,6,,Tria-Blocks Page 3,Cubic Meter,,,,Part I_1400.pdf
B.3 (1),B.3,1,,Permits and Clearances,Lump Sum,,,,Part B.docx
B.4 (1),B.4,1,,Construction survey and staking,Kilometer,,,,Part B.docx
B.4 (2),B.4,2,,"Slope, reference, and clearing and grubbing stakes",Kilometer,,,,Part B.docx
B.4 (3),B.4,3,,Centerline reestablishment,Kilometer,,,,Part B.docx
B.4 (4),B.4,4,,Culvert survey and staking,Each,,,,Part B.docx
B.4 (5),B.4,5,,Bridge survey and staking,Lump sum,,,,Part B.docx
B.4 (6),B.4,6,,Retaining wall survey and staking,Lump sum,,,,Part B.docx
B.4 (7),B.4,7,,Grade finishing stakes,Kilometer,,,,Part B.docx
B.4 (8),B.4,8,,Permanent monuments and markers,Each,,,,Part B.docx
B.4 (9),B.4,9,,Miscellaneous survey and staking,Hour,,,,Part B.docx
B.4 (10),B.4,10,,Miscellaneous survey and staking,Lump sum,,,,Part B.docx
B.4 (11),B.4,11,,Construction survey and staking,Lump Sum,,,,Part B.docx
B.4 (12),B.4,12,,As-staked Survey,Lump Sum,,,,Part B.docx
B.4 (13),B.4,13,,As-built Survey,Lump Sum,,,,Part B.docx
B.5 (1),B.5,1,,Project Billboard / Signboard,Each,,,,Part B.docx
B.6 (1),B.6,1,,Installation of ODA Recognition Plate,Lump sum,,,,Part B.docx
B.6 (2),B.6,2,,Installation of ODA Recognition Plate,Each,,,,Part B.docx
B.7 (1),B.7,1,,Occupational Safety and Health,Lump Sum,,,,Part B.docx
B.8 (1),B.8,1,,Traffic Management,Month,,,,Part B.docx
B.8 (2),B.8,2,,Traffic Management,Lump Sum,,,,Part B.docx
B.9 (1),B.9,1,,Mobilization/Demobilization,Lump Sum,,,,Part B.docx
B.10 (1),B.10,1,,Dayworks,Provisional Sum,,,,Part B.docx
B.11 (1),B.11,1,,Provisional Sum,Provisional Sum,,,,Part B.docx
B.12 (1),B.12,1,,Removal and Relocation of Utilities,Lump Sum,,,,Part B.docx
B.14 (1),B.14,1,,"Environmental Management Plan  
*shall not be paid separately, and should be considered as  subsidiary to the other pay items in the Contract.",---,,,,Part B.docx
B.15 (1),B.15,1,,Detour/access road,Lump sum,,,,Part B.docx
B.15 (2),B.15,2,,Restoration,Lump sum,,,,Part B.docx
B.16 (1),B.16,1,,Recognition Plate/Project Marker,Each,,,,Part B.docx
B.18 (1),B.18,1,,Craneway,Linear Meter,,,,Part B.docx
B.18 (2),B.18,2,,Craneway,Lump Sum,,,,Part B.docx
B.19 (1),B.19,1,,Geotechnical Investigation (Soil),Linear Meter,,,,Part B.docx
B.19 (2),B.19,2,,Geotechnical Investigation (Rock),Linear Meter,,,,Part B.docx
B.19 (3),B.19,3,,"Sampling, Testing and Reports",Lump Sum,,,,Part B.docx
B.20 (1),B.20,1,,Temporary Fence,Lump Sum,,,,Part B.docx
B.20 (2),B.20,2,,Temporary Fence (Rental Basis),Monthly,,,,Part B.docx
B.21 (1),B.21,1,,Temporary Bridge,Lump Sum,,,,Part B.docx
B.21 (2),B.21,2,,Temporary Bridge,Square Meter,,,,Part B.docx
B.22 (1),B.22,1,,Support Equipment,Lump Sum,,,,Part B.docx
B.22 (2),B.22,2,,Support Equipment,Monthly,,,,Part B.docx
B.24 (1),B.24,1,,General scaffolding and shoring and Netting,Lump Sum,,,,Part B.docx
B.24 (2),B.24,2,,General scaffolding and shoring and Netting,Rental,,,,Part B.docx
B.25 (1),B.25,1,,Detailed Engineering and Architectural Design,Lump Sum,,,,Part B.docx
B.26 (1),B.26,1,,Sidewalks,Lump Sum,,,,Part B.docx
B.26 (2),B.26,2,,Ramps,Lump Sum,,,,Part B.docx
B.26 (3),B.26,3,,Corridors,Lump Sum,,,,Part B.docx
B.26 (4),B.26,4,,Doors,Lump Sum,,,,Part B.docx
B.26 (5),B.26,5,,Railings,Lump sum,,,,Part B.docx
B.26 (6),B.26,6,,Stairs,Lump Sum,,,,Part B.docx
B.26 (7),B.26,7,,Elevator and Conveying System,Lump Sum,,,,Part B.docx
B.26 (8),B.26,8,,Washroom and Toilets,Lump Sum,,,,Part B.docx
B.26 (9),B.26,9,,Audible and Visible Alarm,Lump Sum,,,,Part B.docx
B.26 (10),B.26,10,,Parking Areas,Lump Sum,,,,Part B.docx
B.26 (11),B.26,11,,Signages,Lump Sum,,,,Part B.docx
B.26 (12),B.26,12,,Waiting Shed,Lump Sum,,,,Part B.docx
B.28 (1),B.28,1,a,Container Van (High-Cube),Each,12 m (40 Feet),,,Part B.docx
B.28 (2),B.28,2,a,"Isolation Facility, Container Van (High-Cube)",Lump Sum,12 m (40 Feet),,,Part B.docx
